crop,state,date,avg_modal_price
arhar (tur/red gram)(whole),Uttar Pradesh,2023-07-31,8529.444444444445
arhar (tur/red gram)(whole),Uttar Pradesh,2023-08-31,8688.846153846154
arhar (tur/red gram)(whole),West Bengal,2023-07-31,7675.0
arhar (tur/red gram)(whole),West Bengal,2023-08-31,7500.0
arhar dal(tur dal),Karnataka,2023-07-31,11750.0
arhar dal(tur dal),Karnataka,2023-08-31,11750.0
arhar dal(tur dal),Maharashtra,2023-07-31,12500.0
arhar dal(tur dal),Maharashtra,2023-08-31,12500.0
arhar dal(tur dal),Uttar Pradesh,2023-07-31,12678.680555555555
arhar dal(tur dal),Uttar Pradesh,2023-08-31,12687.448979591836
arhar dal(tur dal),Uttar Pradesh,2025-05-31,10593.75
arhar dal(tur dal),West Bengal,2023-07-31,12800.0
arhar dal(tur dal),West Bengal,2023-08-31,13666.666666666666
ashgourd,Haryana,2023-07-31,1000.0
ashgourd,Haryana,2023-08-31,1200.0
ashgourd,Kerala,2023-07-31,2637.042253521127
ashgourd,Kerala,2023-08-31,2507.7419354838707
ashgourd,Kerala,2025-05-31,1800.0
ashgourd,Nagaland,2023-07-31,4500.0
ashgourd,Punjab,2023-07-31,1550.0
ashgourd,Punjab,2023-08-31,1533.3333333333333
ashgourd,Tripura,2023-08-31,2300.0
bajra(pearl millet/cumbu),Gujarat,2023-07-31,2093.9903846153848
bajra(pearl millet/cumbu),Gujarat,2023-08-31,2142.7916666666665
bajra(pearl millet/cumbu),Gujarat,2025-05-31,2525.0
bajra(pearl millet/cumbu),Karnataka,2023-08-31,2610.0
bajra(pearl millet/cumbu),Maharashtra,2023-07-31,2690.0
bajra(pearl millet/cumbu),Maharashtra,2023-08-31,2446.037037037037
bajra(pearl millet/cumbu),Rajasthan,2023-07-31,1974.4166666666667
bajra(pearl millet/cumbu),Rajasthan,2023-08-31,1909.6
bajra(pearl millet/cumbu),Rajasthan,2025-05-31,2410.0
bajra(pearl millet/cumbu),Tamil Nadu,2023-07-31,2535.0
bajra(pearl millet/cumbu),Tamil Nadu,2023-08-31,2490.0
bajra(pearl millet/cumbu),Uttar Pradesh,2023-07-31,2000.0
bajra(pearl millet/cumbu),Uttar Pradesh,2023-08-31,2014.5
bajra(pearl millet/cumbu),Uttar Pradesh,2025-05-31,2176.0
banana,Andaman And Nicobar,2023-07-31,9000.0
banana,Andhra Pradesh,2023-08-31,1840.0
banana,Andhra Pradesh,2025-05-31,2934.285714285714
banana,Bihar,2023-07-31,2450.0
banana,Chattisgarh,2023-07-31,3850.0
banana,Gujarat,2023-07-31,2434.090909090909
banana,Gujarat,2023-08-31,1800.0
banana,Gujarat,2025-05-31,2675.0
banana,Haryana,2023-07-31,2548.7179487179487
banana,Haryana,2023-08-31,2593.478260869565
banana,Haryana,2025-05-31,2545.4545454545455
banana,Himachal Pradesh,2023-07-31,3423.6363636363635
banana,Himachal Pradesh,2023-08-31,3708.3333333333335
banana,Himachal Pradesh,2025-05-31,4144.444444444444
banana,Jammu And Kashmir,2023-07-31,4150.0
banana,Jammu And Kashmir,2023-08-31,3666.6666666666665
banana,Jammu And Kashmir,2025-05-31,4925.0
banana,Karnataka,2023-07-31,3021.4285714285716
banana,Karnataka,2023-08-31,3071.4285714285716
banana,Kerala,2023-07-31,4225.93670886076
banana,Kerala,2023-08-31,4307.64705882353
banana,Kerala,2025-05-31,4646.875
banana,Madhya Pradesh,2023-07-31,2400.0
banana,Madhya Pradesh,2023-08-31,1000.0
banana,Maharashtra,2023-07-31,2325.0
banana,Maharashtra,2023-08-31,1693.75
banana,Meghalaya,2023-07-31,4100.0
banana,Meghalaya,2023-08-31,25900.0
banana,Nagaland,2023-07-31,6267.5
banana,Nagaland,2023-08-31,7043.75
