District,Zn %,Fe%,Cu %,Mn %,B %,S %
AMRITSAR,74.27,88.91,99.85,45.83,0.0,82.91
BARNALA,90.36,87.6,99.23,60.37,61.6,88.02
BATHINDA,88.98,75.44,97.27,62.65,81.82,93.47
FARIDKOT,90.06,86.95,98.82,54.94,62.010000000000005,95.74
FATEHGARH SAHIB,92.56,92.27,99.35,54.64,0.0,88.0
FAZILKA,80.79,82.83,99.81,54.0,50.0,96.69
FIROZEPUR,80.98,89.77,99.78,46.32,100.0,74.74
GURDASPUR,92.26,89.82,99.4,51.8,100.0,82.77
HOSHIARPUR,83.06,90.35,99.55,53.45,0.0,87.12
JALANDHAR,89.89,91.37,98.97,64.99,3.8,78.65
KAPURTHALA,88.55,92.5,99.72,33.82,62.010000000000005,86.68
LUDHIANA,85.4,90.82,99.41,54.28,100.0,76.1
MANSA,91.44,90.46,99.82,72.66,62.010000000000005,88.18
MOGA,90.89,94.05,99.98,43.64,62.010000000000005,87.4
MUKTSAR,79.25,84.43,99.32,32.54,62.010000000000005,93.97
NAWANSHAHR,88.94,96.73,99.95,76.63,100.0,70.99
PATHANKOT,95.27,96.75,99.57,70.49,96.1,87.53
PATIALA,91.25,91.04,99.88,66.96,0.99,83.34
RUPNAGAR,93.95,95.7,98.96,54.3,100.0,91.6
S.A.S NAGAR,80.51,82.81,99.39,56.36,62.010000000000005,82.71
SANGRUR,90.91,89.5,99.85,60.88,3.29,88.62
TARN TARAN,85.0,92.3,99.75,46.06,100.0,82.79
AJMER,59.16,65.75,98.01,91.35,0.0,79.15
ALWAR,51.69,43.75,97.71,95.97,62.010000000000005,89.65
BANSWARA,29.26,40.46,87.08,90.44,62.010000000000005,98.42
BARAN,79.39,81.21,99.41,94.36,62.010000000000005,44.11
BARMER,27.94,25.77,92.8,91.48,62.010000000000005,78.67
BHARATPUR,37.93,78.29,96.47,99.12,62.010000000000005,93.84
BHILWARA,60.02,52.08,96.66,86.89,62.010000000000005,97.61
BIKANER,29.09,6.35,67.84,41.62,62.010000000000005,30.83
BUNDI,72.42,61.01,99.45,96.02,62.010000000000005,96.36
CHITTORGARH,60.13,37.47,96.4,79.25,62.010000000000005,94.78
CHURU,4.38,0.86,93.82,81.17,62.010000000000005,70.73
DAUSA,64.41,64.43,92.27,86.21,62.010000000000005,99.39
DHOLPUR,50.18,66.87,90.16,95.33,62.010000000000005,90.14
DUNGARPUR,49.3,54.91,96.52,78.45,62.010000000000005,94.73
GANGANAGAR,40.02,52.93,95.02,96.2,62.010000000000005,59.17
HANUMANGARH,63.15,52.65,95.3,85.3,62.010000000000005,88.41
JAIPUR,62.67,34.87,90.93,94.12,75.0,96.61
JAISALMER,1.01,4.36,97.69,99.76,62.010000000000005,0.04
JALORE,41.11,39.04,97.58,91.82,62.010000000000005,93.98
JHALAWAR,72.53,73.24,99.79,97.78,62.010000000000005,86.4
JHUNJHUNU,27.73,36.26,94.05,93.76,62.010000000000005,86.11
JODHPUR,31.08,25.16,98.69,91.13,62.010000000000005,99.23
KARAULI,44.43,52.21,93.69,94.43,62.010000000000005,76.39
KOTA,81.56,83.86,97.04,90.56,62.010000000000005,91.85
NAGAUR,21.85,21.17,97.78,95.14,62.010000000000005,66.17
PALI,35.77,32.7,98.15,98.92,62.010000000000005,92.68
PRATAPGARH,75.46,63.71,91.04,94.14,62.010000000000005,95.37
RAJSAMAND,41.53,18.03,89.69,89.65,62.010000000000005,99.94
SAWAI MADHOPUR,41.22,67.34,97.75,95.24,62.010000000000005,88.64
SIKAR,60.16,45.93,94.22,90.71,62.010000000000005,99.09
SIROHI,4.18,1.64,97.26,94.79,62.010000000000005,84.67
TONK,66.03,56.71,97.95,93.99,62.010000000000005,96.4
UDAIPUR,61.23,78.35,98.44,99.11,0.0,89.49
GANGTOK,31.51,98.99,73.09,98.87,29.21,99.19
GYALSHING,54.41,3.49,96.17,7.01,26.96,0.17
MANGAN,73.02,22.22,99.21,3.97,6.35,1.59
NAMCHI,81.58,98.3,92.9,99.43,62.87,98.02
ARIYALUR,95.15,75.73,99.55,88.3,86.15,55.34
COIMBATORE,72.71,56.06,98.09,68.17,46.6,50.96
CUDDALORE,96.69,99.36,99.87,97.82,12.74,20.96
DHARMAPURI,88.13,13.49,94.89,90.48,45.38,50.26
DINDIGUL,79.92,49.69,95.2,65.22,19.0,54.36
ERODE,74.77,45.71,97.72,55.37,18.08,17.35
KANCHIPURAM,70.66,67.52,99.52,94.93,11.26,98.96
KANNIYAKUMARI,80.52,92.82,97.01,87.85,27.63,77.25
KARUR,87.22,22.25,99.88,81.82,87.28,31.53
KRISHNAGIRI,98.43,98.24,99.72,98.89,87.35,96.14
MADURAI,68.45,70.98,97.89,81.01,19.57,79.74
NAGAPATTINAM,70.48,95.76,89.95,62.3,48.31,89.76
NAMAKKAL,46.2,49.77,92.6,67.69,5.7,55.22
PERAMBALUR,42.0,2.51,99.1,69.55,6.54,13.99
PUDUKKOTTAI,58.83,59.57,95.71,96.52,65.88,60.43
RAMANATHAPURAM,28.48,76.54,94.35,90.41,14.38,89.09
SALEM,81.74,97.86,99.69,94.17,65.56,58.75
SIVAGANGA,32.34,72.55,68.22,91.59,33.65,56.24
THANJAVUR,98.9,93.0,99.9,86.9,99.74,38.51
THE NILGIRIS,62.4,67.38,90.73,65.23,34.91,44.96
THENI,33.96,28.28,97.02,49.28,78.35,63.16
THIRUVALLUR,62.94,59.6,90.96,10.85,48.4,65.17
THIRUVARUR,57.87,99.09,99.83,89.15,80.76,96.11
TIRUCHIRAPPALLI,94.56,72.01,99.8,93.39,0.46,99.99
TIRUNELVELI,61.16,86.4,98.38,98.45,58.43,89.4
TIRUPPUR,89.43,74.75,99.51,65.3,80.83,87.95
TIRUVANNAMALAI,45.72,80.39,96.2,8.97,41.24,68.87
TUTICORIN,47.33,30.78,93.44,87.7,59.3,78.83
VELLORE,68.68,20.77,96.72,38.38,39.62,68.44
VILLUPURAM,71.24,38.26,99.32,92.89,14.43,43.35
VIRUDHUNAGAR,23.35,32.7,83.04,85.94,56.03,75.5
ADILABAD,73.33,74.63,82.7,77.48,79.0,80.41
